old,new,ps,pr
Нав. 21:1-22:20,Луки 20:1-26,Пс. 88:1-14,Прит. 13:15-16
Нав. 22:21-23:16,Луки 20:27-47,Пс. 88:15-38,Прит. 13:17-19
Нав. 24:1-33,Луки 21:1-28,Пс. 88:39-53,Прит. 13:20-23
Судей 1:1-2:9,Луки 21:29-22:13,Пс. 89:1-90:16,Прит. 13:24-25
Судей 2:10-3:31,Луки 22:14-34,Пс. 91:1-92:5,Прит. 14:1-2
Судей 4:1-5:31,Луки 22:35-53,Пс. 93:1-23,Прит. 14:3-4
Судей 6:1-40,Луки 22:54-23:12,Пс. 94:1-95:13,Прит. 14:5-6
Судей 7:1-8:17,Луки 23:13-43,Пс. 96:1-97:9,Прит. 14:7-8
Судей 8:18-9:21,Луки 23:44-24:12,Пс. 98:1-9,Прит. 14:9-10
Судей 9:22-10:18,Луки 24:13-53,Пс. 99:1-5,Прит. 14:11-12
Судей 11:1-12:15,Иоанна 1:1-28,Пс. 100:1-8,Прит. 14:13-14
Судей 13:1-14:20,Иоанна 1:29-51,Пс. 101:1-29,Прит. 14:15-16
Судей 15:1-16:31,Иоанна 2:1-25,Пс. 102:1-22,Прит. 14:17-19
Судей 17:1-18:31,Иоанна 3:1-21,Пс. 103:1-24,Прит. 14:20-21
Судей 19:1-20:48,Иоанна 3:22-4:3,Пс. 103:24-35,Прит. 14:22-23
Судей 21:1-Руфь 1:22,Иоанна 4:4-42,Пс. 104:1-15,Прит. 14:25
Руфь 2:1-4:22,Иоанна 4:43-54,Пс. 104:16-36,Прит. 14:26-27
1Цар. 1:1-2:21,Иоанна 5:1-23,Пс. 104:37-45,Прит. 14:28-29
1Цар. 2:22-4:22,Иоанна 5:24-47,Пс. 105:1-12,Прит. 14:30-31
1Цар. 5:1-7:17,Иоанна 6:1-21,Пс. 105:13-31,Прит. 14:32-33
1Цар. 8:1-9:27,Иоанна 6:22-42,Пс. 105:32-48,Прит. 14:34-35
1Цар. 10:1-11:15,Иоанна 6:43-71,Пс. 106:1-43,Прит. 15:1-3
1Цар. 12:1-13:23,Иоанна 7:1-30,Пс. 107:1-13,Прит. 15:4
1Цар. 14:1-52,Иоанна 7:31-53,Пс. 108:1-31,Прит. 15:5-7
1Цар. 15:1-16:23,Иоанна 8:1-20,Пс. 109:1-7,Прит. 15:8-10
1Цар. 17:1-18:4,Иоанна 8:21-30,Пс. 110:1-10,Прит. 15:11
1Цар. 18:5-19:24,Иоанна 8:31-59,Пс. 111:1-10,Прит. 15:12-14
1Цар. 20:1-21:15,Иоанна 9:1-41,Пс. 112:1-113:8,Прит. 15:15-17
1Цар. 22:1-23:29,Иоанна 10:1-21,Пс. 113:9-26,Прит. 15:18-19
1Цар. 24:1-25:44,Иоанна 10:22-42,Пс. 114:1-115:10,Прит. 15:20-21
1Цар. 26:1-28:25,Иоанна 11:1-54,Пс. 116:1-2,Прит. 15:22-23
1Цар. 29:1-31:13,Иоанна 11:55-12:19,Пс. 117:1-18,Прит. 15:24-26
2Цар. 1:1-2:11,Иоанна 12:20-50,Пс. 117:19-29,Прит. 15:27-28
2Цар. 2:12-3:39,Иоанна 13:1-30,Пс. 118:1-16,Прит. 15:29-30
2Цар. 4:1-6:23,Иоанна 13:31-14:14,Пс. 118:17-32,Прит. 15:31-32
2Цар. 7:1-8:18,Иоанна 14:15-31,Пс. 118:33-48,Прит. 15:33
2Цар. 9:1-11:27,Иоанна 15:1-27,Пс. 118:49-64,Прит. 16:1-3
2Цар. 12:1-31,Иоанна 16:1-33,Пс. 118:65-80,Прит. 16:4-5
2Цар. 13:1-39,Иоанна 17:1-26,Пс. 118:81-96,Прит. 16:6-7
2Цар. 14:1-15:22,Иоанна 18:1-24,Пс. 118:97-112,Прит. 16:8-9
2Цар. 15:23-16:23,Иоанна 18:25-19:22,Пс. 118:113-128,Прит. 16:10-11
2Цар. 17:1-29,Иоанна 19:23-42,Пс. 119:129-152,Прит. 16:12-13
2Цар. 18:1-19:10,Иоанна 20:1-31,Пс. 118:153-176,Прит. 16:14-15
2Цар. 19:11-20:13,Иоанна 21:1-25,Пс. 119:1-7,Прит. 16:16-17
2Цар. 20:14-21:22,Деяния 1:1-26,Пс. 120:1-8,Прит. 16:18
2Цар. 22:1-23:23,Деяния 2:1-47,Пс. 121:1-9,Прит. 16:19-20
2Цар. 23:24-24:25,Деяния 3:1-26,Пс. 122:1-4,Прит. 16:21-23
3Цар. 1:1-53,Деяния 4:1-37,Пс. 123:1-8,Прит. 16:24
3Цар. 2:1-3:2,Деяния 5:1-42,Пс. 124:1-5,Прит. 16:25
3Цар. 3:3-4:34,Деяния 6:1-15,Пс. 125:1-6,Прит. 16:26-27
3Цар. 5:1-6:38,Деяния 7:1-29,Пс. 126:1-5,Прит. 16:28-30
3Цар. 7:1-50,Деяния 7:30-50,Пс. 127:1-6,Прит. 16:31-33
3Цар. 8:1-66,Деяния 7:51-8:13,Пс. 128:1-8,Прит. 17:01
3Цар. 9:1-10:29,Деяния 8:14-40,Пс. 129:1-8,Прит. 17:2-3
3Цар. 11:1-12:19,Деяния 9:1-25,Пс. 130:1-3,Прит. 17:4-5
3Цар. 12:20-13:34,Деяния 9:26-43,Пс. 131:1-18,Прит. 17:06
3Цар. 14:1-15:24,Деяния 10:1-23,Пс. 132:1-3,Прит. 17:7-8
3Цар. 15:25-17:24,Деяния 10:24-48,Пс. 133:1-3,Прит. 17:9-11
3Цар. 18:1-46,Деяния 11:1-30,Пс. 134:1-21,Прит. 17:12-13
3Цар. 19:1-21,Деяния 12:1-23,Пс. 135:1-26,Прит. 17:14-15
3Цар. 20:1-21:29,Деяния 12:24-13:15,Пс. 136:1-9,Прит. 17:16
3Цар. 22:1-53,Деяния 13:16-41,Пс. 137:1-8,Прит. 17:17-18
4Цар. 1:1-2:25,Деяния 13:42-14:7,Пс. 138:1-24,Прит. 17:19-21
4Цар. 3:1-4:17,Деяния 14:8-28,Пс. 139:1-13,Прит. 17:22
4Цар. 4:18-5:27,Деяния 15:1-35,Пс. 140:1-10,Прит. 17:23
4Цар. 6:1-7:20,Деяния 15:36-16:15,Пс. 141:1-7,Прит. 17:24-25
4Цар. 8:1-9:13,Деяния 16:16-40,Пс. 142:1-12,Прит. 17:26
4Цар. 9:14-10:31,Деяния 17:1-34,Пс. 143:1-15,Прит. 17:27-28
4Цар. 10:32-12:21,Деяния 18:1-22,Пс. 144:1-21,Прит. 18:01
4Цар. 13:1-14:29,Деяния 18:23-19:12,Пс. 145:1-10,Прит. 18:2-3
4Цар. 15:1-16:20,Деяния 19:13-41,Пс. 146:1-147:9,Прит. 18:4-5
4Цар. 17:1-18:12,Деяния 20:1-38,Пс. 148:1-14,Прит. 18:6-7
4Цар. 18:13-19:37,Деяния 21:1-17,Пс. 149:1-9,Прит. 18:08
4Цар. 20:1-22:2,Деяния 21:18-36,Пс. 150:1-6,Прит. 18:9-10
4Цар. 22:3-23:30,Деяния 21:37-22:16,Пс. 1:1-6,Прит. 18:11-12
4Цар. 23:31-25:30,Деяния 22:17-23:10,Пс. 2:1-12,Прит. 18:13
1Пар. 1:1-2:17,Деяния 23:11-35,Пс. 3:1-8,Прит. 18:14-15
1Пар. 2:18-4:4,Деяния 24:1-27,Пс. 4:1-8,Прит. 18:16-18
1Пар. 4:5-5:17,Деяния 25:1-27,Пс. 5:1-12,Прит. 18:19
1Пар. 5:18-6:81,Деяния 26:1-32,Пс. 6:1-10,Прит. 18:20-21
1Пар. 7:1-8:40,Деяния 27:1-20,Пс. 7:1-17,Прит. 18:22
1Пар. 9:1-10:14,Деяния 27:21-44,Пс. 8:1-9,Прит. 18:23-24
1Пар. 11:1-12:18,Деяния 28:1-31,Пс. 9:1-12,Прит. 19:1-3
1Пар. 12:19-14:17,Рим. 1:1-17,Пс. 9:13-20,Прит. 19:4-5
1Пар. 15:1-16:36,Рим. 1:18-32,Пс. 9:21-36,Прит. 19:6-7
1Пар. 6:37-18:17,Рим. 2:1-24,Пс. 9:37-39,Прит. 19:8-9
1Пар. 19:1-21:30,Рим. 2:25-3:8,Пс. 10:1-7,Прит. 19:10-12
1Пар. 22:1-23:32,Рим. 3:9-31,Пс. 11:1-8,Прит. 19:13-14
1Пар. 24:1-26:11,Рим. 4:1-12,Пс. 12:1-6,Прит. 19:15-16
1Пар. 26:12-27:34,Рим. 4:13-5:5,Пс. 13:1-7,Прит. 19:17
1Пар. 28:1-29:30,Рим. 5:6-21,Пс. 14:1-5,Прит. 19:18-19
2Пар. 1:1-3:17,Рим. 6:1-23,Пс. 15:1-11,Прит. 19:20-21
2Пар. 4:1-6:11,Рим. 7:1-13,Пс. 16:1-15,Прит. 19:22-23
2Пар. 6:12-8:10,Рим. 7:14-8:8,Пс. 17:1-15,Прит. 19:24-25
2Пар. 8:11-10:19,Рим. 8:9-25,Пс. 17:16-36,Прит. 19:26
2Пар. 11:1-13:22,Рим. 8:26-39,Пс. 17:37-50,Прит. 19:27-29
2Пар. 14:1-16:14,Рим. 9:1-24,Пс. 18:1-14,Прит. 20:1
2Пар. 17:1-18:34,Рим. 9:25-10:13,Пс. 19:1-9,Прит. 20:2-3
2Пар. 19:1-20:37,Рим. 10:14-11:12,Пс. 20:1-14,Прит. 20:4-6
2Пар. 21:1-23:21,Рим. 11:13-36,Пс. 21:1-18,Прит. 20:07
2Пар. 24:1-25:28,Рим. 12:1-21,Пс. 21:19-32,Прит. 20:8-10
2Пар. 26:1-28:27,Рим. 13:1-14,Пс. 22:1-6,Прит. 20:11
2Пар. 29:1-36,Рим. 14:1-23,Пс. 23:1-10,Прит. 20:12
2Пар. 30:1-31:21,Рим. 15:1-22,Пс. 24:1-15,Прит. 20:13-15
2Пар. 32:1-33:13,Рим. 15:23-16:9,Пс. 24:16-22,Прит. 20:16-18
2Пар. 33:14-34:33,Рим. 16:10-27,Пс. 25:1-12,Прит. 20:19
2Пар. 35:1-36:23,1Кор. 1:1-17,Пс. 26:1-6,Прит. 20:20-21
Ездра 1:1-2:70,1Кор. 1:18-2:5,Пс. 26:7-14,Прит. 20:22-23
Ездра 3:1-4:23,1Кор. 2:6-3:4,Пс. 27:1-9,Прит. 20:24-25
Ездра 4:24-6:22,1Кор. 3:5-23,Пс. 28:1-11,Прит. 20:26-27
Ездра 7:1-8:20,1Кор. 4:1-21,Пс. 29:1-12,Прит. 20:28-30
Ездра 8:21-9:15,1Кор. 5:1-13,Пс. 30:1-8,Прит. 21:1-2
Ездра 10:1-44,1Кор. 6:1-20,Пс. 30:9-18,Прит. 21:03
Неемия 1:1-3:14,1Кор. 7:1-24,Пс. 30:19-24,Прит. 21:04
Неемия 3:15-5:13,1Кор. 7:25-40,Пс. 31:1-11,Прит. 21:5-7
Неемия 5:14-7:73,1Кор. 8:1-13,Пс. 32:1-11,Прит. 21:8-10
Неемия 7:73-9:21,1Кор. 9:1-18,Пс. 32:12-22,Прит. 21:11-12
Неемия 9:22-10:39,1Кор. 9:19-10:13,Пс. 33:1-10,Прит. 21:13
Неемия 11:1-12:26,1Кор. 10:14-33,Пс. 33:11-22,Прит. 21:14-16
Неемия 12:27-13:31,1Кор. 11:1-16,Пс. 34:1-16,Прит. 21:17-18
Есфирь 1:1-3:15,1Кор. 11:17-34,Пс. 34:17-28,Прит. 21:19-20
Есфирь 4:1-7:10,1Кор. 12:1-26,Пс. 35:1-12,Прит. 21:21-22
Есфирь 8:1-10:3,1Кор. 12:27-13:13,Пс. 36:1-11,Прит. 21:23-24
Иов 1:1-3:26,1Кор. 14:1-17,Пс. 36:12-29,Прит. 21:25-26
Иов 4:1-7:21,1Кор. 14:18-40,Пс. 36:30-40,Прит. 21:27
Иов 8:1-11:20,1Кор. 15:1-28,Пс. 37:1-22,Прит. 21:28-29
Иов 12:1-15:35,1Кор. 15:29-58,Пс. 38:1-13,Прит. 21:30-31
Иов 16:1-19:29,1Кор. 16:1-24,Пс. 39:1-10,Прит. 22:1
Иов 20:1-22:30,2Кор. 1:1-11,Пс. 39:11-17,Прит. 22:2-4
Иов 23:1-27:23,2Кор. 1:12-2:11,Пс. 40:1-13,Прит. 22:5-6
Иов 28:1-30:31,2Кор. 2:12-17,Пс. 41:1-11,Прит. 22:7
Иов 31:1-33:33,2Кор. 3:1-18,Пс. 42:1-5,Прит. 22:8-9
Иов 34:1-36:33,2Кор. 4:1-12,Пс. 43:1-9,Прит. 22:10-12
Иов 37:1-39:30,2Кор. 4:13-5:10,Пс. 43:10-26,Прит. 22:13
Иов 40:1-42:17,2Кор. 5:11-21,Пс. 44:1-18,Прит. 22:14
Еккл. 1:1-3:22,2Кор. 6:1-13,Пс. 45:1-12,Прит. 22:15
Еккл. 4:1-6:12,2Кор. 6:14-7:7,Пс. 46:1-10,Прит. 22:16
Еккл. 7:1-9:18,2Кор. 7:8-16,Пс. 47:1-15,Прит. 22:17-19
Еккл. 10:1-12:14,2Кор. 8:1-15,Пс. 48:1-21,Прит. 22:20-21
